order_id,platform,city,category,num_items,cart_value,hour_of_day,is_weekend,weather,base_delivery_fee,handling_fee,surge_charge,small_cart_fee,night_surge,peak_surge,total_hidden_charges,platform_discount,final_price,has_offer,offer_type,offer_value,offer_genuine_score,is_late_night_order,is_bulk_order,is_health_category,days_since_last_order
ORD850800,Instamart,Delhi,Dairy,3,837.9,3,1,Rainy,0.0,9.35,12.87,0,8.36,0.0,30.58,0.0,868.48,1,BOGO,94.28,1.0,1,0,1,21
ORD377370,Instamart,Kolkata,Snacks,13,861.92,9,0,Clear,0.0,6.04,0.0,0,0.0,0.0,6.04,67.0,800.96,1,Cashback,63.19,0.67,0,1,0,26
ORD838797,Zepto,Lucknow,Personal Care,2,1008.93,15,0,Hot,0.0,8.57,0.0,0,0.0,0.0,8.57,0.0,1017.5,0,None,0.0,,0,0,0,3
ORD816751,Zepto,Hyderabad,Dairy,14,505.74,19,0,Rainy,0.0,7.08,22.51,0,0.0,11.7,41.29,21.32,525.71,0,None,0.0,,0,1,1,21
ORD983794,Zepto,Bangalore,Personal Care,7,1188.27,15,1,Hot,0.0,8.76,0.0,0,0.0,0.0,8.76,0.0,1197.03,0,None,0.0,,0,0,0,25
ORD514850,Zepto,Hyderabad,Dairy,5,316.3,20,0,Hot,0.0,11.49,0.0,0,0.0,8.15,19.64,0.0,335.94,0,None,0.0,,0,0,1,29
ORD267753,Instamart,Lucknow,Frozen,12,1085.56,8,1,Cloudy,0.0,6.4,0.0,0,0.0,0.0,6.4,69.83,1022.13,1,Cashback,115.81,0.93,0,1,0,26
ORD663054,Instamart,Kolkata,Personal Care,9,1167.61,16,0,Hot,0.0,9.16,0.0,0,0.0,0.0,9.16,50.45,1126.32,0,None,0.0,,0,1,0,25
ORD308573,Blinkit,Chennai,Personal Care,1,1168.51,8,0,Hot,0.0,12.62,0.0,0,0.0,0.0,12.62,0.0,1181.13,1,Flat Discount,127.83,0.6,0,0,0,5
ORD945964,Blinkit,Bangalore,Fruits & Veg,10,627.24,15,0,Clear,0.0,6.12,0.0,0,0.0,0.0,6.12,0.0,633.36,0,None,0.0,,0,1,1,10
ORD736059,Zepto,Mumbai,Medicines,2,993.95,10,0,Clear,0.0,11.8,0.0,0,0.0,0.0,11.8,0.0,1005.75,1,Free Gift,142.56,0.31,0,0,1,14
ORD161733,Zepto,Hyderabad,Medicines,8,215.52,18,0,Cloudy,0.0,5.02,0.0,0,0.0,0.0,5.02,35.3,185.24,1,Free Delivery,11.01,1.0,0,1,1,8
ORD946721,Zepto,Mumbai,Medicines,5,319.95,20,1,Rainy,0.0,4.19,24.03,0,0.0,9.73,37.95,0.0,357.9,0,None,0.0,,0,0,1,14
ORD163556,Zepto,Delhi,Medicines,7,1047.5,7,0,Hot,0.0,3.49,0.0,0,0.0,0.0,3.49,0.0,1050.99,0,None,0.0,,0,0,1,13
ORD890170,Instamart,Chennai,Medicines,4,237.0,19,1,Rainy,21.12,6.78,20.74,0,0.0,13.56,41.08,56.56,242.64,1,BOGO,127.04,1.0,0,0,1,28
ORD299122,Zepto,Bangalore,Snacks,1,504.45,13,0,Hot,0.0,11.87,0.0,0,0.0,9.55,21.42,47.04,478.83,1,BOGO,102.66,1.0,0,0,0,10
ORD723939,Zepto,Mumbai,Grocery,1,734.28,16,0,Cloudy,0.0,7.53,0.0,0,0.0,0.0,7.53,0.0,741.81,1,BOGO,21.22,0.94,0,0,0,3
ORD804318,Instamart,Hyderabad,Grocery,10,773.71,12,0,Rainy,0.0,6.52,17.84,0,0.0,14.35,38.71,0.0,812.42,1,Flat Discount,43.42,0.98,0,1,0,21
ORD356150,Blinkit,Lucknow,Medicines,1,775.7,11,0,Clear,0.0,10.63,0.0,0,0.0,0.0,10.63,43.01,743.32,1,Free Delivery,140.66,1.0,0,0,1,12
ORD377312,Blinkit,Bangalore,Grocery,10,828.01,13,0,Cloudy,0.0,10.55,0.0,0,0.0,6.04,16.59,0.0,844.6,0,None,0.0,,0,1,0,4
ORD237174,Zepto,Bangalore,Personal Care,4,646.06,10,0,Cloudy,0.0,5.26,0.0,0,0.0,0.0,5.26,0.0,651.32,1,Free Gift,126.11,0.27,0,0,0,21
ORD423232,Blinkit,Bangalore,Grocery,9,205.3,18,0,Hot,38.9,11.91,0.0,0,0.0,0.0,11.91,2.88,253.23,1,BOGO,30.73,0.93,0,1,0,12
ORD532322,Zepto,Chennai,Frozen,6,1170.7,9,1,Clear,0.0,9.75,0.0,0,0.0,0.0,9.75,0.0,1180.45,1,Free Delivery,146.67,0.66,0,0,0,1
ORD582662,Zepto,Chennai,Snacks,5,961.86,19,0,Rainy,0.0,3.97,23.08,0,0.0,7.22,34.27,0.0,996.13,0,None,0.0,,0,0,0,12
ORD373903,Blinkit,Hyderabad,Personal Care,6,1048.08,10,0,Hot,0.0,14.67,0.0,0,0.0,0.0,14.67,51.32,1011.43,1,BOGO,56.36,0.91,0,0,0,6
ORD854377,Instamart,Pune,Fruits & Veg,12,568.76,5,0,Cloudy,0.0,9.91,0.0,0,10.28,0.0,20.19,62.97,525.98,1,Free Gift,10.24,1.0,1,1,1,24
ORD442027,Instamart,Hyderabad,Fruits & Veg,10,822.99,12,1,Cloudy,0.0,4.75,0.0,0,0.0,10.07,14.82,0.0,837.81,0,None,0.0,,0,1,1,13
ORD736130,Instamart,Pune,Snacks,11,769.38,15,1,Hot,0.0,5.81,0.0,0,0.0,0.0,5.81,0.0,775.19,1,Flat Discount,39.43,1.0,0,1,0,21
ORD308802,Blinkit,Lucknow,Snacks,13,817.91,13,0,Hot,0.0,7.84,0.0,0,0.0,11.19,19.03,0.0,836.94,1,Free Delivery,104.19,0.54,0,1,0,5
ORD887443,Zepto,Mumbai,Frozen,8,1072.47,10,0,Clear,0.0,8.18,0.0,0,0.0,0.0,8.18,0.0,1080.65,1,Free Gift,44.16,0.9,0,1,0,28
ORD564071,Zepto,Kolkata,Beverages,1,1107.57,9,0,Hot,0.0,4.09,0.0,0,0.0,0.0,4.09,27.88,1083.78,1,BOGO,93.36,1.0,0,0,0,20
ORD435239,Instamart,Kolkata,Medicines,12,584.08,20,0,Rainy,0.0,8.51,20.4,0,0.0,9.85,38.76,54.44,568.4,1,Free Gift,20.85,0.65,0,1,1,29
ORD712451,Instamart,Delhi,Beverages,12,151.94,8,1,Rainy,24.93,7.26,16.16,0,0.0,0.0,23.42,29.41,170.88,0,None,0.0,,0,1,0,23
ORD672661,Zepto,Kolkata,Frozen,13,1035.86,14,0,Cloudy,0.0,11.58,0.0,0,0.0,0.0,11.58,0.0,1047.44,0,None,0.0,,0,1,0,26
ORD513160,Instamart,Hyderabad,Frozen,1,456.47,14,1,Hot,0.0,8.07,0.0,0,0.0,0.0,8.07,0.0,464.54,1,Free Gift,138.74,0.61,0,0,0,19
ORD975467,Instamart,Mumbai,Grocery,3,371.38,7,0,Hot,0.0,5.96,0.0,0,0.0,0.0,5.96,0.0,377.34,1,Free Gift,48.96,0.98,0,0,0,3
ORD219946,Blinkit,Mumbai,Dairy,4,954.98,19,1,Cloudy,0.0,11.52,0.0,0,0.0,14.5,26.02,0.0,981.0,1,Cashback,96.99,0.69,0,0,1,19
ORD703766,Zepto,Lucknow,Dairy,10,951.13,18,0,Rainy,0.0,4.47,14.67,0,0.0,0.0,19.14,0.0,970.27,0,None,0.0,,0,1,1,22
ORD113266,Blinkit,Kolkata,Personal Care,2,1032.33,22,1,Rainy,0.0,11.0,16.82,0,17.39,0.0,45.21,0.0,1077.54,1,Free Gift,102.61,0.33,1,0,0,28
ORD965845,Blinkit,Lucknow,Snacks,12,567.75,8,0,Hot,0.0,12.34,0.0,0,0.0,0.0,12.34,0.0,580.09,1,BOGO,118.45,0.59,0,1,0,24
ORD472060,Instamart,Pune,Medicines,5,353.13,11,1,Clear,0.0,6.79,0.0,0,0.0,0.0,6.79,0.0,359.92,1,Cashback,79.2,0.7,0,0,1,26
ORD351997,Blinkit,Chennai,Grocery,9,658.62,11,0,Cloudy,0.0,6.91,0.0,0,0.0,0.0,6.91,32.51,633.02,0,None,0.0,,0,1,0,23
ORD575786,Blinkit,Lucknow,Frozen,4,854.8,13,1,Cloudy,0.0,8.06,0.0,0,0.0,9.73,17.79,0.0,872.59,1,Free Gift,149.53,0.27,0,0,0,9
ORD725780,Blinkit,Pune,Snacks,2,294.53,10,0,Cloudy,34.77,7.76,0.0,0,0.0,0.0,7.76,0.0,337.06,0,None,0.0,,0,0,0,10
ORD232413,Zepto,Hyderabad,Snacks,1,387.23,11,0,Cloudy,0.0,11.77,0.0,0,0.0,0.0,11.77,0.0,399.0,0,None,0.0,,0,0,0,21
ORD256445,Blinkit,Delhi,Medicines,8,461.59,20,0,Hot,0.0,14.65,0.0,0,0.0,6.14,20.79,68.94,413.44,1,Free Gift,20.37,0.91,0,1,1,26
ORD751194,Instamart,Pune,Beverages,10,948.78,7,1,Hot,0.0,6.28,0.0,0,0.0,0.0,6.28,0.0,955.06,1,BOGO,148.6,0.56,0,1,0,2
ORD576086,Instamart,Delhi,Dairy,5,255.9,22,1,Rainy,0.0,5.04,12.75,0,15.13,0.0,32.92,31.54,257.28,1,Free Delivery,50.33,0.96,1,0,1,3
ORD402630,Instamart,Hyderabad,Dairy,7,689.91,21,0,Rainy,0.0,7.89,21.08,0,0.0,5.71,34.68,0.0,724.59,1,Flat Discount,93.31,1.0,0,0,1,15
ORD733039,Zepto,Lucknow,Medicines,9,570.29,18,0,Cloudy,0.0,8.38,0.0,0,0.0,0.0,8.38,0.0,578.67,0,None,0.0,,0,1,1,9
ORD765620,Zepto,Delhi,Personal Care,13,725.4,10,0,Clear,0.0,9.87,0.0,0,0.0,0.0,9.87,31.14,704.13,1,Flat Discount,35.41,1.0,0,1,0,27
ORD429795,Blinkit,Delhi,Dairy,11,1040.66,14,0,Cloudy,0.0,8.3,0.0,0,0.0,0.0,8.3,0.0,1048.96,1,Free Gift,123.9,0.29,0,1,1,9
